n_samples,n_dimensions,n_repetitions,median_total_seconds,mean_total_seconds,std_total_seconds,min_total_seconds,max_total_seconds,median_clustering_seconds,mean_clustering_seconds,std_clustering_seconds,min_clustering_seconds,max_clustering_seconds,median_overlap_scoring_seconds,mean_overlap_scoring_seconds,std_overlap_scoring_seconds,min_overlap_scoring_seconds,max_overlap_scoring_seconds,median_other_seconds,mean_other_seconds,std_other_seconds,min_other_seconds,max_other_seconds,median_index,mean_index,std_index,min_index,max_index
2000,50,3,0.018590666353702545,0.018315360726167757,0.001364645852388615,0.016523458063602448,0.019831957761198282,0.01354449987411499,0.013289957928160826,0.001357351448097251,0.011514957994222641,0.014810415916144848,0.0031612920574843884,0.0031613333461185298,3.339127015141882e-05,0.0031204582192003727,0.003202249761670828,0.001860249787569046,0.0018640694518884022,1.8215363495956992e-05,0.001843916717916727,0.0018880418501794338,0.48949999999999994,0.4825,0.013589211407093025,0.46349999999999997,0.49450000000000005
2000,100,3,0.019248166121542454,0.019133679879208405,0.001266203790035556,0.017528832890093327,0.020624040625989437,0.014045375399291515,0.013954125034312407,0.0011140404778311166,0.012546374928206205,0.0152706247754395,0.0032755411230027676,0.0032039303332567215,0.0001511130390251556,0.0029937499202787876,0.0033424999564886093,0.0019887080416083336,0.001975624511639277,3.5387345094717e-05,0.0019272495992481709,0.002010915894061327,0.43950000000000006,0.44333333333333336,0.015145589750448446,0.42699999999999994,0.46349999999999997
2000,250,3,0.02554254187270999,0.025951889343559742,0.00234320938978586,0.023308709263801575,0.02900441689416766,0.01925520785152912,0.019548319280147552,0.0024530221073288546,0.016701291780918837,0.0226884582079947,0.004146333783864975,0.00416755552093188,5.3550747502201766e-05,0.004115208052098751,0.004241124726831913,0.002172125969082117,0.00223601454248031,9.212626672886066e-05,0.002169624902307987,0.002366292756050825,0.3504999999999999,0.35033333333333333,0.013268592824996775,0.33399999999999996,0.3665
2000,500,3,0.04331616684794426,0.04281115252524614,0.004075923167283529,0.037585875019431114,0.047531415708363056,0.034624249674379826,0.03402359737083316,0.004062373765517609,0.02877516718581319,0.03867137525230646,0.006269792094826698,0.006235111504793167,0.0001190571384792801,0.006075083278119564,0.006360459141433239,0.0025409157387912273,0.0025524436496198177,4.855726154675786e-05,0.002499581314623356,0.00261683389544487,0.3135,0.3275,0.042801869118065404,0.2835,0.3855
3500,10,3,0.020796332973986864,0.02185690263286233,0.001592949770473505,0.020665958989411592,0.024108415935188532,0.01250370778143406,0.013502902661760649,0.0014722138199273242,0.012420625425875187,0.015584374777972698,0.004918833263218403,0.004949708003550768,6.413234224025892e-05,0.004891290795058012,0.005038999952375889,0.0034568742848932743,0.0034042919675509133,9.497831836841666e-05,0.0032709604129195213,0.003485041204839945,0.4708571428571428,0.4695238095238095,0.005907833302579336,0.46171428571428574,0.476
3500,25,3,0.02582699991762638,0.024791541664550703,0.0017533327235229074,0.022322624921798706,0.02622500015422702,0.017493417020887136,0.016407347284257412,0.001780721628936437,0.013896625023335218,0.01783199980854988,0.005065750330686569,0.005082583054900169,4.3865451906960475e-05,0.005039290990680456,0.005142707843333483,0.0032942919060587883,0.0033016113253931203,1.867718721363167e-05,0.003283292055130005,0.003327250014990568,0.48114285714285715,0.48695238095238097,0.018767946815365776,0.4674285714285714,0.5122857142857142
3500,50,3,0.02929362514987588,0.02863768038029472,0.0017231275695738714,0.026277208235114813,0.03034220775589347,0.02123745810240507,0.020425014042605955,0.0016449847927847167,0.018130959011614323,0.021906625013798475,0.004857500083744526,0.004904889035969973,0.00016840241025813584,0.004726457875221968,0.005130709148943424,0.0033048735931515694,0.0033077773017187915,1.684744704768617e-05,0.0032887491397559643,0.0033297091722488403,0.47057142857142853,0.47447619047619044,0.006984271282780621,0.4685714285714285,0.48428571428571426
3500,100,3,0.03399270819500089,0.03426351398229599,0.0005512072186617079,0.033765874803066254,0.03503195894882083,0.02425508387386799,0.024392528148988884,0.00042952634157373317,0.023948833346366882,0.024973667226731777,0.005867415573447943,0.0058797077896694345,6.324894665603918e-05,0.0058091250248253345,0.005962582770735025,0.004095708951354027,0.003991278043637673,0.00025246821744881026,0.0036433753557503223,0.00423474982380867,0.4602857142857143,0.45533333333333337,0.008457443152111766,0.4434285714285714,0.4622857142857143
3500,250,3,0.04169466672465205,0.04449390294030309,0.004372764233245601,0.04111808305606246,0.05066895904019475,0.030319999903440475,0.02989924993986885,0.0006728132339641756,0.02894979203119874,0.030427957884967327,0.006968583911657333,0.0070749724594255286,0.000228626440337214,0.006863750051707029,0.007392583414912224,0.003874125424772501,0.007519680541008711,0.005187180958923366,0.003829499240964651,0.01485541695728898,0.41228571428571426,0.4045714285714285,0.016005101227612503,0.38228571428571423,0.41914285714285715
3500,500,3,0.08394783269613981,0.08307993023966749,0.008724325274818786,0.071987375151366,0.09330458287149668,0.06683279108256102,0.06655226399501164,0.00889858764832528,0.05551620898768306,0.07730779191479087,0.012452082708477974,0.012505721921722094,0.0003809849481816804,0.012068250216543674,0.012996832840144634,0.004019083455204964,0.004021944322933753,7.745807095644714e-05,0.003928540740162134,0.004118208773434162,0.3188571428571429,0.32990476190476187,0.030865372212465856,0.2988571428571428,0.372
5000,10,3,0.030569041147828102,0.030511360770712297,0.0007190457629101531,0.0296032908372581,0.031361750327050686,0.01930433278903365,0.01934405555948615,0.0007001990902073028,0.018507041968405247,0.020220791921019554,0.006494832690805197,0.006504166716088851,2.708044511871406e-05,0.006476667243987322,0.006541000213474035,0.004646125715225935,0.004663138495137294,4.417887184122127e-05,0.004619581624865532,0.0047237081453204155,0.4726,0.4778666666666667,0.007590051968787099,0.47240000000000004,0.48860000000000003
5000,25,3,0.03369708266109228,0.033128846902400255,0.002063273541197991,0.03036612505093217,0.035323332995176315,0.022858624812215567,0.022040847223252058,0.0021187851284004155,0.019135499838739634,0.024128417018800974,0.00648475019261241,0.006375152772913377,0.0001694239739474941,0.006135832984000444,0.0065048751421272755,0.00470262486487627,0.00471284690623482,2.391278124177721e-05,0.004690040834248066,0.004745875019580126,0.4856,0.47900000000000004,0.009475582655787781,0.46560000000000007,0.48580000000000007
5000,50,3,0.03102399967610836,0.03238658312087258,0.0025493047387045633,0.03017720766365528,0.03595854202285409,0.01902308315038681,0.02085156909500559,0.002810584439834783,0.018709416035562754,0.02482220809906721,0.00635145790874958,0.006656096937755744,0.00045528820507059823,0.006317165680229664,0.007299667224287987,0.004836958833038807,0.004878917088111241,9.848863868468708e-05,0.004784876015037298,0.00501491641625762,0.5036,0.5002000000000001,0.01224091499847952,0.4838,0.5132000000000001
5000,100,3,0.04186558397486806,0.04353234715138873,0.003400630808860636,0.04045895766466856,0.048272499814629555,0.029404291883111,0.030983055476099253,0.0033134050461238224,0.02795162471011281,0.03559324983507395,0.007489874958992004,0.007474374957382679,0.0001111768357421363,0.007331124972552061,0.0076021249406039715,0.005077125038951635,0.005074916717906793,4.603979546271252e-05,0.0050174579955637455,0.005130167119204998,0.489,0.48513333333333325,0.007535397947170541,0.47459999999999997,0.4917999999999999
5000,250,3,0.08311516605317593,0.08570576350515087,0.009914912255797671,0.07506687473505735,0.09893524972721934,0.06305758282542229,0.06716093079497416,0.009737124703282848,0.05782887525856495,0.08059633430093527,0.012472374830394983,0.013173749980827173,0.0012425662409146175,0.012129084207117558,0.014919790904968977,0.005137792322784662,0.005371082729349534,0.00035053991136564937,0.005108915269374847,0.0058665405958890915,0.45099999999999996,0.4477333333333333,0.004619764303752098,0.4412,0.45099999999999996
5000,500,3,0.1462830831296742,0.14644543065999946,0.011319418799013206,0.13266391726210713,0.16038929158821702,0.1212770827114582,0.12116494433333476,0.01246774686205584,0.10583937494084239,0.1363783753477037,0.01912495819851756,0.019450374878942966,0.0013264708569162113,0.01801312528550625,0.02121304115280509,0.005881042219698429,0.00583011144772172,0.00016176198038748364,0.005611501168459654,0.005997790955007076,0.3912,0.38693333333333335,0.020472637565513863,0.36,0.4096
